med dm gdmv gdma gv ga xsec unc
1380 980 1 0 0.25 0 8.1046429e-05 1.1160614e-07
1380 980 0 0.1 0 0.25 1.45399880386e-07 2.11672618594e-10
1380 980 0 0.25 0 0.25 9.0874925241e-07 1.47436021449e-09
1380 980 0 0.5 0 0.25 3.63499700964e-06 8.06038869054e-09
1380 980 0 1.0 0 0.1 2.32664645343e-06 4.49456411359e-09
1380 980 0 1.0 0 0.25 1.45399880386e-05 6.68487200832e-08
1380 980 0 1.0 0 0.5 5.80646073612e-05 8.20751731449e-07
1380 980 0 1.0 0 1 0.000226389877568 1.20662769045e-05
1380 980 0 2.0 0 0.25 5.81599521542e-05 8.21109525469e-07
1380 980 0.05 0.05 0.05 0.05 1.94747703828e-08 2.6090782339e-11
1380 980 0.05 0.05 0.125 0.125 1.21712499644e-07 1.64276244895e-10
1380 980 0.05 0.05 0.25 0.25 4.86553745103e-07 6.74064550353e-10
1380 980 0.05 0.05 0.5 0.5 1.92750835545e-06 2.9462368782e-09
1380 980 0.05 0.05 1.0 1.0 6.7211264622e-06 1.42726276672e-08
1380 980 0.125 0.125 0.05 0.05 1.21717314893e-07 1.6428258905e-10
1380 980 0.125 0.125 0.125 0.125 7.60703122773e-07 1.07419357161e-09
1380 980 0.125 0.125 0.25 0.25 3.04096090689e-06 4.97196119907e-09
1380 980 0.125 0.125 0.5 0.5 1.20469272216e-05 3.04549476928e-08
1380 980 0.125 0.125 1.0 1.0 4.20070403888e-05 2.61521786131e-07
1380 980 0.1 0 0.25 0 8.183344316e-07 1.1160614e-09
1380 980 0.25 0 0.25 0 5.1145901975e-06 6.97538375e-09
1380 980 0.25 0.25 0.05 0.05 4.86869259571e-07 6.74490348083e-10
1380 980 0.25 0.25 0.125 0.125 3.04281249109e-06 4.97487487231e-09
1380 980 0.25 0.25 0.25 0.25 1.21638436276e-05 3.07315270728e-08
1380 980 0.25 0.25 0.5 0.5 4.81877088862e-05 2.93833607972e-07
1380 980 0.25 0.25 1.0 1.0 0.000168028161555 3.50777090469e-06
1380 980 0.5 0 0.25 0 2.045836079e-05 2.7901535e-08
1380 980 0.5 0.5 0.05 0.05 1.94747703828e-06 2.97572126244e-09
1380 980 0.5 0.5 0.125 0.125 1.21712499644e-05 3.07491088635e-08
1380 980 0.5 0.5 0.25 0.25 4.86553745103e-05 2.96425024716e-07
1380 980 0.5 0.5 0.5 0.5 0.000192750835545 3.9275555071e-06
1380 980 0.5 0.5 1.0 1.0 0.00067211264622 5.34180237813e-05
1380 980 1.0 0 0.1 0 1.30955326217e-05 1.78598963303e-08
1380 980 1.0 0 0.5 0 0.000326497053851 4.45381169577e-07
1380 980 1.0 0 1 0 0.00125524131855 2.00309460146e-06
1380 980 1.0 1.0 0.05 0.05 7.78990815313e-06 1.63470429714e-08
1380 980 1.0 1.0 0.125 0.125 4.86849998574e-05 2.96590185442e-07
1380 980 1.0 1.0 0.25 0.25 0.000194621498041 3.96168276166e-06
1380 980 1.0 1.0 0.5 0.5 0.00077100334218 5.97457592318e-05
1380 980 1.0 1.0 1.0 1.0 0.00268845058488 0.000843863137726
1380 980 2.0 0 0.25 0 0.00032733377264 4.4642456e-07
