med dm gdmv gdma gv ga xsec unc
1380 1080 1 0 0.25 0 3.5810859e-05 4.7900349e-08
1380 1080 0 0.1 0 0.25 6.80856968238e-08 9.46555298571e-11
1380 1080 0 0.25 0 0.25 4.25535605149e-07 6.62027554536e-10
1380 1080 0 0.5 0 0.25 1.7021424206e-06 3.65426011713e-09
1380 1080 0 1.0 0 0.1 1.08943413305e-06 2.02972904529e-09
1380 1080 0 1.0 0 0.25 6.80856968238e-06 3.07154388524e-08
1380 1080 0 1.0 0 0.5 2.72100707962e-05 3.80328212249e-07
1380 1080 0 1.0 0 1 0.000107322378252 5.61923349323e-06
1380 1080 0 2.0 0 0.25 2.72342787295e-05 3.80436129551e-07
1380 1080 0.05 0.05 0.05 0.05 8.51640125386e-09 1.15476496009e-11
1380 1080 0.05 0.05 0.125 0.125 5.32263939416e-08 7.27182615658e-11
1380 1080 0.05 0.05 0.25 0.25 2.12837015858e-07 2.98594497422e-10
1380 1080 0.05 0.05 0.5 0.5 8.46990348577e-07 1.31301248025e-09
1380 1080 0.05 0.05 1.0 1.0 3.13646465232e-06 6.75714473331e-09
1380 1080 0.125 0.125 0.05 0.05 5.32275078366e-08 7.27197103315e-11
1380 1080 0.125 0.125 0.125 0.125 3.32664962135e-07 4.75852055207e-10
1380 1080 0.125 0.125 0.25 0.25 1.33023134911e-06 2.20793038185e-09
1380 1080 0.125 0.125 0.5 0.5 5.29368967861e-06 1.36504369186e-08
1380 1080 0.125 0.125 1.0 1.0 1.9602904077e-05 1.24079375256e-07
1380 1080 0.1 0 0.25 0 3.6779107788e-07 4.7900349e-10
1380 1080 0.25 0 0.25 0 2.29869423675e-06 2.9937718125e-09
1380 1080 0.25 0.25 0.05 0.05 2.12910031346e-07 2.98691703119e-10
1380 1080 0.25 0.25 0.125 0.125 1.33065984854e-06 2.20859279826e-09
1380 1080 0.25 0.25 0.25 0.25 5.32092539644e-06 1.37133611411e-08
1380 1080 0.25 0.25 0.5 0.5 2.11747587144e-05 1.32374732203e-07
1380 1080 0.25 0.25 1.0 1.0 7.84116163081e-05 1.66556351063e-06
1380 1080 0.5 0 0.25 0 9.194776947e-06 1.197508725e-08
1380 1080 0.5 0.5 0.05 0.05 8.51640125386e-07 1.31977260118e-09
1380 1080 0.5 0.5 0.125 0.125 5.32263939416e-06 1.3717324432e-08
1380 1080 0.5 0.5 0.25 0.25 2.12837015858e-05 1.32959678383e-07
1380 1080 0.5 0.5 0.5 0.5 8.46990348577e-05 1.77386668128e-06
1380 1080 0.5 0.5 1.0 1.0 0.000313646465232 2.53701901962e-05
1380 1080 1.0 0 0.1 0 5.88516696763e-06 7.6647060004e-09
1380 1080 1.0 0 0.5 0 0.000146920612402 1.91359464213e-07
1380 1080 1.0 0 1 0 0.00057549494976 7.83093348152e-07
1380 1080 1.0 1.0 0.05 0.05 3.40656050154e-06 7.27918302386e-09
1380 1080 1.0 1.0 0.125 0.125 2.12905575766e-05 1.32996549551e-07
1380 1080 1.0 1.0 0.25 0.25 8.5134806343e-05 1.78153845464e-06
1380 1080 1.0 1.0 0.5 0.5 0.000338796139431 2.70053507645e-05
1380 1080 1.0 1.0 1.0 1.0 0.00125458586093 0.000400807739244
1380 1080 2.0 0 0.25 0 0.000147116431152 1.91601396e-07
