med dm gdmv gdma gv ga xsec unc
1205 1355 1 0 0.25 0 4.8084658e-06 7.058392e-09
1205 1355 0 0.1 0 0.25 9.68200771214e-09 1.53129640506e-11
1205 1355 0 0.25 0 0.25 6.05125482009e-08 1.04704733747e-10
1205 1355 0 0.5 0 0.25 2.42050192804e-07 5.4737191258e-10
1205 1355 0 1.0 0 0.1 1.54913602191e-07 3.10829021216e-10
1205 1355 0 1.0 0 0.25 9.68200771214e-07 4.24633529177e-09
1205 1355 0 1.0 0 0.5 3.87223407826e-06 4.9891766816e-08
1205 1355 0 1.0 0 1 1.54526332352e-05 7.25452257362e-07
1205 1355 0 2.0 0 0.25 3.87280308486e-06 4.98949034303e-08
1205 1355 0.05 0.05 0.05 0.05 1.16436031327e-09 1.7368461664e-12
1205 1355 0.05 0.05 0.125 0.125 7.27722945963e-09 1.09252348719e-11
1205 1355 0.05 0.05 0.25 0.25 2.9107532557e-08 4.46985861174e-11
1205 1355 0.05 0.05 0.5 0.5 1.16341556006e-07 1.94644951874e-10
1205 1355 0.05 0.05 1.0 1.0 4.59781846943e-07 1.02200864245e-09
1205 1355 0.125 0.125 0.05 0.05 7.27725195793e-09 1.09252672969e-11
1205 1355 0.125 0.125 0.125 0.125 4.54826841227e-08 7.10162542308e-11
1205 1355 0.125 0.125 0.25 0.25 1.81922078481e-07 3.23100550015e-10
1205 1355 0.125 0.125 0.5 0.5 7.27134725037e-07 1.91572024216e-09
1205 1355 0.125 0.125 1.0 1.0 2.87363654339e-06 1.74337760657e-08
1205 1355 0.1 0 0.25 0 4.8118887424e-08 7.058392e-11
1205 1355 0.25 0 0.25 0 3.007430464e-07 4.411495e-10
1205 1355 0.25 0.25 0.05 0.05 2.91090078317e-08 4.47007657136e-11
1205 1355 0.25 0.25 0.125 0.125 1.81930736491e-07 3.23115535231e-10
1205 1355 0.25 0.25 0.25 0.25 7.27688313926e-07 1.91717915408e-09
1205 1355 0.25 0.25 0.5 0.5 2.90853890015e-06 1.76512994393e-08
1205 1355 0.25 0.25 1.0 1.0 1.14945461736e-05 2.27538276411e-07
1205 1355 0.5 0 0.25 0 1.2029721856e-06 1.764598e-09
1205 1355 0.5 0.5 0.05 0.05 1.16436031327e-07 1.94798207273e-10
1205 1355 0.5 0.5 0.125 0.125 7.27722945963e-07 1.91727043385e-09
1205 1355 0.5 0.5 0.25 0.25 2.9107532557e-06 1.76651478807e-08
1205 1355 0.5 0.5 0.5 0.5 1.16341556006e-05 2.30419893288e-07
1205 1355 0.5 0.5 1.0 1.0 4.59781846943e-05 3.43500386001e-06
1205 1355 1.0 0 0.1 0 7.69911964528e-07 1.12935673713e-09
1205 1355 1.0 0 0.5 0 1.92437975143e-05 2.82281905665e-08
1205 1355 1.0 0 1 0 7.67356407198e-05 1.12640823255e-07
1205 1355 1.0 1.0 0.05 0.05 4.65744125308e-07 1.0351151398e-09
1205 1355 1.0 1.0 0.125 0.125 2.91089178385e-06 1.76660144223e-08
1205 1355 1.0 1.0 0.25 0.25 1.16430130228e-05 2.30603491752e-07
1205 1355 1.0 1.0 0.5 0.5 4.65366224024e-05 3.47871470164e-06
1205 1355 1.0 1.0 1.0 1.0 0.000183912738777 5.41376275099e-05
1205 1355 2.0 0 0.25 0 1.92475549696e-05 2.8233568e-08
