med dm gdmv gdma gv ga xsec unc
980 955 1 0 0.25 0 5.81185e-05 8.8693069e-08
980 955 0 0.1 0 0.25 1.44728586981e-07 2.25417258344e-10
980 955 0 0.25 0 0.25 9.04553668631e-07 1.56169595407e-09
980 955 0 0.5 0 0.25 3.61821467452e-06 8.43018509363e-09
980 955 0 1.0 0 0.1 2.31569446711e-06 4.72463334157e-09
980 955 0 1.0 0 0.25 1.44728586981e-05 6.86551608123e-08
980 955 0 1.0 0 0.5 5.78771711958e-05 8.33540522606e-07
980 955 0 1.0 0 1 0.000230600851352 1.22731786839e-05
980 955 0 2.0 0 0.25 5.78914347924e-05 8.33571370254e-07
980 955 0.05 0.05 0.05 0.05 1.47989158381e-08 2.2646817069e-11
980 955 0.05 0.05 0.125 0.125 9.24927332428e-08 1.42700615408e-10
980 955 0.05 0.05 0.25 0.25 3.6994071799e-07 5.87309460831e-10
980 955 0.05 0.05 0.5 0.5 1.47783250454e-06 2.61083531983e-09
980 955 0.05 0.05 1.0 1.0 5.79115053849e-06 1.44072735215e-08
980 955 0.125 0.125 0.05 0.05 9.24932239882e-08 1.4270135228e-10
980 955 0.125 0.125 0.125 0.125 5.78079582768e-07 9.37142155993e-10
980 955 0.125 0.125 0.25 0.25 2.31212948744e-06 4.39485023253e-09
980 955 0.125 0.125 0.5 0.5 9.23645315338e-06 2.78924121816e-08
980 955 0.125 0.125 1.0 1.0 3.61946908656e-05 2.72286004768e-07
980 955 0.1 0 0.25 0 5.963415066e-07 8.8693069e-10
980 955 0.25 0 0.25 0 3.72713441625e-06 5.5433168125e-09
980 955 0.25 0.25 0.05 0.05 3.69972895953e-07 5.87358917668e-10
980 955 0.25 0.25 0.125 0.125 2.31231833107e-06 4.39518733386e-09
980 955 0.25 0.25 0.25 0.25 9.24851794974e-06 2.79246309636e-08
980 955 0.25 0.25 0.5 0.5 3.69458126135e-05 2.76922383479e-07
980 955 0.25 0.25 1.0 1.0 0.000144778763462 3.69258037992e-06
980 955 0.5 0 0.25 0 1.4908537665e-05 2.217326725e-08
980 955 0.5 0.5 0.05 0.05 1.47989158381e-06 2.61429180748e-09
980 955 0.5 0.5 0.125 0.125 9.24927332428e-06 2.79266486936e-08
980 955 0.5 0.5 0.25 0.25 3.6994071799e-05 2.77222204389e-07
980 955 0.5 0.5 0.5 0.5 0.000147783250454 3.75333328996e-06
980 955 0.5 0.5 1.0 1.0 0.000579115053849 5.64253032932e-05
980 955 1.0 0 0.1 0 9.54167609803e-06 1.41912056803e-08
980 955 1.0 0 0.5 0 0.000238455053609 3.546521194e-07
980 955 1.0 0 1 0 0.00094863831488 1.41487406453e-06
980 955 1.0 1.0 0.05 0.05 5.91956633525e-06 1.46948654188e-08
980 955 1.0 1.0 0.125 0.125 3.69970932971e-05 2.77240984506e-07
980 955 1.0 1.0 0.25 0.25 0.000147976287196 3.75726770611e-06
980 955 1.0 1.0 0.5 0.5 0.000591133001816 5.73436332566e-05
980 955 1.0 1.0 1.0 1.0 0.0023164602154 0.000892180921549
980 955 2.0 0 0.25 0 0.00023853660264 3.54772276e-07
