med dm gdmv gdma gv ga xsec unc
1205 230 1 0 0.25 0 0.11768236 0.00016169647
1205 230 0 0.1 0 0.25 0.00204393681147 3.44032574972e-06
1205 230 0 0.25 0 0.25 0.0121193403843 3.22302812946e-05
1205 230 0 0.5 0 0.25 0.041000766678 0.000161047318822
1205 230 0 1.0 0 0.1 0.0270301937163 8.77845055765e-05
1205 230 0 1.0 0 0.25 0.102054793572 0.000197191304524
1205 230 0 1.0 0 0.5 0.169546129177 0.00219912824603
1205 230 0 1.0 0 1 0.182199279232 0.0157420082912
1205 230 0 2.0 0 0.25 0.162815602038 0.00222625103556
1205 230 0.05 0.05 0.05 0.05 0.00112629270969 7.16384094039e-06
1205 230 0.05 0.05 0.125 0.125 0.00114976171122 2.58441938348e-06
1205 230 0.05 0.05 0.25 0.25 0.00118336985286 1.84230837195e-06
1205 230 0.05 0.05 0.5 0.5 0.00119640056998 2.0652401347e-06
1205 230 0.05 0.05 1.0 1.0 0.00091841659694 2.13675514298e-06
1205 230 0.125 0.125 0.05 0.05 0.00507819994445 9.27220369492e-05
1205 230 0.125 0.125 0.125 0.125 0.00676524816028 3.98623751809e-05
1205 230 0.125 0.125 0.25 0.25 0.00728431543752 1.70330006706e-05
1205 230 0.125 0.125 0.5 0.5 0.0074469377872 2.94797662724e-05
1205 230 0.125 0.125 1.0 1.0 0.00573203762874 4.7293096635e-05
1205 230 0.1 0 0.25 0 0.00257315554779 4.46093913498e-06
1205 230 0.25 0 0.25 0 0.0150681090926 4.27033864001e-05
1205 230 0.25 0.25 0.05 0.05 0.010123865532 0.000190389952406
1205 230 0.25 0.25 0.125 0.125 0.0223862251775 0.000291972659456
1205 230 0.25 0.25 0.25 0.25 0.0276470618221 0.000134401115683
1205 230 0.25 0.25 0.5 0.5 0.0293586346106 0.000350574265841
1205 230 0.25 0.25 1.0 1.0 0.0228134815534 0.000669238898531
1205 230 0.5 0 0.25 0 0.0492636788891 0.00018493354571
1205 230 0.5 0.5 0.05 0.05 0.0136551107166 0.000110402770973
1205 230 0.5 0.5 0.125 0.125 0.0530967986728 0.000790278294937
1205 230 0.5 0.5 0.25 0.25 0.091852104669 0.00115970971458
1205 230 0.5 0.5 0.5 0.5 0.111005129237 0.00488207033169
1205 230 0.5 0.5 1.0 1.0 0.0894530244772 0.0100671287153
1205 230 1.0 0 0.1 0 0.0281508836591 6.30905468552e-05
1205 230 1.0 0 0.5 0 0.208582531695 0.00401904373879
1205 230 1.0 0 1 0 0.244341535324 0.0319302468286
1205 230 1.0 1.0 0.05 0.05 0.0153331073789 4.99698602032e-05
1205 230 1.0 1.0 0.125 0.125 0.0823363521499 0.000972109462707
1205 230 1.0 1.0 0.25 0.25 0.218818912708 0.00887865647744
1205 230 1.0 1.0 0.5 0.5 0.362782792367 0.0623506541357
1205 230 1.0 1.0 1.0 1.0 0.331017253256 0.141568528008
1205 230 2.0 0 0.25 0 0.175427619256 0.00413277274865
