med dm gdmv gdma gv ga xsec unc
1405 1155 1 0 0.25 0 2.1139144e-05 2.7499772e-08
1405 1155 0 0.1 0 0.25 4.02293094335e-08 5.58681361902e-11
1405 1155 0 0.25 0 0.25 2.5143318396e-07 3.92214361744e-10
1405 1155 0 0.5 0 0.25 1.00573273584e-06 2.18369331206e-09
1405 1155 0 1.0 0 0.1 6.43696185966e-07 1.20872610561e-09
1405 1155 0 1.0 0 0.25 4.02293094335e-06 1.85721470896e-08
1405 1155 0 1.0 0 0.5 1.60812524656e-05 2.31642076983e-07
1405 1155 0 1.0 0 1 6.3665034952e-05 3.4355660149e-06
1405 1155 0 2.0 0 0.25 1.60917237734e-05 2.3168656982e-07
1405 1155 0.05 0.05 0.05 0.05 4.80140845575e-09 6.5213166346e-12
1405 1155 0.05 0.05 0.125 0.125 3.00083532711e-08 4.10781354281e-11
1405 1155 0.05 0.05 0.25 0.25 1.20005738391e-07 1.68852794813e-10
1405 1155 0.05 0.05 0.5 0.5 4.78260525268e-07 7.45953238852e-10
1405 1155 0.05 0.05 1.0 1.0 1.8084719864e-06 3.93401509624e-09
1405 1155 0.125 0.125 0.05 0.05 3.00088028484e-08 4.10787443447e-11
1405 1155 0.125 0.125 0.125 0.125 1.87552207945e-07 2.69258302383e-10
1405 1155 0.125 0.125 0.25 0.25 7.50035864946e-07 1.25560592939e-09
1405 1155 0.125 0.125 0.5 0.5 2.98912828292e-06 7.85561047814e-09
1405 1155 0.125 0.125 1.0 1.0 1.1302949915e-05 7.31479088415e-08
1405 1155 0.1 0 0.25 0 2.0561181474e-07 2.7499772e-10
1405 1155 0.25 0 0.25 0 1.28507384213e-06 1.71873575e-09
1405 1155 0.25 0.25 0.05 0.05 1.20035211394e-07 1.688937685e-10
1405 1155 0.25 0.25 0.125 0.125 7.50208831778e-07 1.25588972321e-09
1405 1155 0.25 0.25 0.25 0.25 3.00014345978e-06 7.88350888623e-09
1405 1155 0.25 0.25 0.5 0.5 1.19565131317e-05 7.70424809885e-08
1405 1155 0.25 0.25 1.0 1.0 4.521179966e-05 9.86310413795e-07
1405 1155 0.5 0 0.25 0 5.1402953685e-06 6.874943e-09
1405 1155 0.5 0.5 0.05 0.05 4.80140845575e-07 7.48835731943e-10
1405 1155 0.5 0.5 0.125 0.125 3.00083532711e-06 7.88526311164e-09
1405 1155 0.5 0.5 0.25 0.25 1.20005738391e-05 7.73113982437e-08
1405 1155 0.5 0.5 0.5 0.5 4.78260525268e-05 1.03809054917e-06
1405 1155 0.5 0.5 1.0 1.0 0.00018084719864 1.504474211e-05
1405 1155 1.0 0 0.1 0 3.28999581478e-06 4.40023813127e-09
1405 1155 1.0 0 0.5 0 8.21652479885e-05 1.09895968826e-07
1405 1155 1.0 0 1 0 0.000323675736341 4.43490166827e-07
1405 1155 1.0 1.0 0.05 0.05 1.9205633823e-06 4.16751345484e-09
1405 1155 1.0 1.0 0.125 0.125 1.20033413085e-05 7.73283199475e-08
1405 1155 1.0 1.0 0.25 0.25 4.80022953565e-05 1.04168339615e-06
1405 1155 1.0 1.0 0.5 0.5 0.000191304210107 1.58310922001e-05
1405 1155 1.0 1.0 1.0 1.0 0.000723388794561 0.000237770975718
1405 1155 2.0 0 0.25 0 8.2244725896e-05 1.09999088e-07
