med dm gdmv gdma gv ga xsec unc
1230 305 1 0 0.25 0 0.10571231 0.0001527581
1230 305 0 0.1 0 0.25 0.00173940045424 2.71048209608e-06
1230 305 0 0.25 0 0.25 0.0103427170533 2.41922602406e-05
1230 305 0 0.5 0 0.25 0.0351908666732 0.000127936109716
1230 305 0 1.0 0 0.1 0.0267365254696 0.000104311000342
1230 305 0 1.0 0 0.25 0.0869679467438 0.000212532367003
1230 305 0 1.0 0 0.5 0.121955175539 0.00135726080087
1230 305 0 1.0 0 1 0.113771123424 0.0082425388633
1230 305 0 2.0 0 0.25 0.13211331843 0.00132579816261
1230 305 0.05 0.05 0.05 0.05 0.00131913624076 6.79856571682e-06
1230 305 0.05 0.05 0.125 0.125 0.00125910429068 2.39532823825e-06
1230 305 0.05 0.05 0.25 0.25 0.00105567924473 1.63418131741e-06
1230 305 0.05 0.05 0.5 0.5 0.000878785438225 1.651176867e-06
1230 305 0.05 0.05 1.0 1.0 0.000581741236895 1.48131069537e-06
1230 305 0.125 0.125 0.05 0.05 0.00614002307524 9.27781392295e-05
1230 305 0.125 0.125 0.125 0.125 0.00739970883844 3.59106934205e-05
1230 305 0.125 0.125 0.25 0.25 0.00649086875358 1.43708048405e-05
1230 305 0.125 0.125 0.5 0.5 0.00546914651304 2.16692480045e-05
1230 305 0.125 0.125 1.0 1.0 0.0036310182162 2.98209434839e-05
1230 305 0.1 0 0.25 0 0.00258489070255 4.22960588569e-06
1230 305 0.25 0 0.25 0 0.0150290882032 3.92368765975e-05
1230 305 0.25 0.25 0.05 0.05 0.012527857134 0.000203738119427
1230 305 0.25 0.25 0.125 0.125 0.0243174089326 0.000268371838002
1230 305 0.25 0.25 0.25 0.25 0.0245359202572 0.000107467133142
1230 305 0.25 0.25 0.5 0.5 0.02154985197 0.000246047545417
1230 305 0.25 0.25 1.0 1.0 0.0144549003315 0.000410257806597
1230 305 0.5 0 0.25 0 0.0480084925241 0.00016776548276
1230 305 0.5 0.5 0.05 0.05 0.0157396007431 0.000120619375271
1230 305 0.5 0.5 0.125 0.125 0.0553207679443 0.000768360262769
1230 305 0.5 0.5 0.25 0.25 0.0802881534645 0.000894974550291
1230 305 0.5 0.5 0.5 0.5 0.0812979762346 0.00337003779865
1230 305 0.5 0.5 1.0 1.0 0.0567324419493 0.00612689569495
1230 305 1.0 0 0.1 0 0.0273469992146 6.02402294689e-05
1230 305 1.0 0 0.5 0 0.173495408603 0.00341539190538
1230 305 1.0 0 1 0 0.186938021225 0.0246065726395
1230 305 1.0 1.0 0.05 0.05 0.0145515506393 4.60746284722e-05
1230 305 1.0 1.0 0.125 0.125 0.0751341310693 0.000806824164338
1230 305 1.0 1.0 0.25 0.25 0.183273468792 0.00664654792799
1230 305 1.0 1.0 0.5 0.5 0.263175325721 0.0429728693361
1230 305 1.0 1.0 1.0 1.0 0.210707281341 0.0863672758661
1230 305 2.0 0 0.25 0 0.145405163977 0.00345008066829
