med dm gdmv gdma gv ga xsec unc
1780 655 1 0 0.25 0 0.016680966 2.209116e-05
1780 655 0 0.1 0 0.25 0.000117981647694 1.88489542292e-07
1780 655 0 0.25 0 0.25 0.000720784464886 1.48378340561e-06
1780 655 0 0.5 0 0.25 0.00266744875083 8.61650364708e-06
1780 655 0 1.0 0 0.1 0.00334123498529 3.12235254578e-05
1780 655 0 1.0 0 0.25 0.00817677052323 3.47051304241e-05
1780 655 0 1.0 0 0.5 0.00920457506016 8.2044247548e-05
1780 655 0 1.0 0 1 0.00617524154064 0.000377785693954
1780 655 0 2.0 0 0.25 0.0164363404286 8.72603349004e-05
1780 655 0.05 0.05 0.05 0.05 0.000118054283233 4.39107913444e-07
1780 655 0.05 0.05 0.125 0.125 0.000121954399455 2.28185251406e-07
1780 655 0.05 0.05 0.25 0.25 0.000114066087486 1.7282376517e-07
1780 655 0.05 0.05 0.5 0.5 8.77497547741e-05 1.47208938772e-07
1780 655 0.05 0.05 1.0 1.0 4.3919123134e-05 1.07407259817e-07
1780 655 0.125 0.125 0.05 0.05 0.000583954933146 6.8997406926e-06
1780 655 0.125 0.125 0.125 0.125 0.000731982293548 3.03241471154e-06
1780 655 0.125 0.125 0.25 0.25 0.000705059798359 1.44641761053e-06
1780 655 0.125 0.125 0.5 0.5 0.000546510586755 1.74108635127e-06
1780 655 0.125 0.125 1.0 1.0 0.000274216542986 2.10139625879e-06
1780 655 0.1 0 0.25 0 0.000336993574949 5.66911957319e-07
1780 655 0.25 0 0.25 0 0.00198135831909 5.03164708573e-06
1780 655 0.25 0.25 0.05 0.05 0.00135613445881 2.24303821294e-05
1780 655 0.25 0.25 0.125 0.125 0.00256191699146 2.4695502971e-05
1780 655 0.25 0.25 0.25 0.25 0.00271318116078 1.04851769911e-05
1780 655 0.25 0.25 0.5 0.5 0.00215888147396 1.85179945619e-05
1780 655 0.25 0.25 1.0 1.0 0.00109290713384 2.87130772826e-05
1780 655 0.5 0 0.25 0 0.00652856732565 2.18497270351e-05
1780 655 0.5 0.5 0.05 0.05 0.00207939861466 2.1164804017e-05
1780 655 0.5 0.5 0.125 0.125 0.00676207923194 9.838009725e-05
1780 655 0.5 0.5 0.25 0.25 0.00940701326597 9.43540685546e-05
1780 655 0.5 0.5 0.5 0.5 0.00822152098062 0.000248494891139
1780 655 0.5 0.5 1.0 1.0 0.00430918301495 0.000432236846622
1780 655 1.0 0 0.1 0 0.00408946269437 1.04317501642e-05
1780 655 1.0 0 0.5 0 0.0228817495576 0.000430292967186
1780 655 1.0 0 1 0 0.01752367306 0.00184668784202
1780 655 1.0 1.0 0.05 0.05 0.00224716785754 8.1730415258e-06
1780 655 1.0 1.0 0.125 0.125 0.0110015651167 0.000125117328448
1780 655 1.0 1.0 0.25 0.25 0.0240601067196 0.000723538157601
1780 655 1.0 1.0 0.5 0.5 0.0273664028671 0.00322803228406
1780 655 1.0 1.0 1.0 1.0 0.0162924858861 0.00635443393685
1780 655 2.0 0 0.25 0 0.0206017073498 0.000422174789717
