med dm gdmv gdma gv ga xsec unc
1730 955 1 0 0.25 0 0.00030393476 4.5969459e-07
1730 955 0 0.1 0 0.25 3.92378997396e-07 6.80905787228e-10
1730 955 0 0.25 0 0.25 2.45236873373e-06 4.75492643037e-09
1730 955 0 0.5 0 0.25 9.8094749349e-06 2.61520665815e-08
1730 955 0 1.0 0 0.1 6.28509542081e-06 1.4556964654e-08
1730 955 0 1.0 0 0.25 3.92378997396e-05 2.18726040085e-07
1730 955 0 1.0 0 0.5 0.000154346764316 2.70686547739e-06
1730 955 0 1.0 0 1 0.000507989146923 3.94213269446e-05
1730 955 0 2.0 0 0.25 0.000156951598958 2.70078854049e-06
1730 955 0.05 0.05 0.05 0.05 6.16797126343e-08 1.06391982936e-10
1730 955 0.05 0.05 0.125 0.125 3.85270194613e-07 6.68025099645e-10
1730 955 0.05 0.05 0.25 0.25 1.52725926051e-06 2.69830312387e-09
1730 955 0.05 0.05 0.5 0.5 5.39539531833e-06 1.03839054295e-08
1730 955 0.05 0.05 1.0 1.0 9.75050317593e-06 3.05352579437e-08
1730 955 0.125 0.125 0.05 0.05 3.85498203964e-07 6.68405624851e-10
1730 955 0.125 0.125 0.125 0.125 2.40793871633e-06 4.3101282173e-09
1730 955 0.125 0.125 0.25 0.25 9.54537037821e-06 1.90198631738e-08
1730 955 0.125 0.125 0.5 0.5 3.37212207396e-05 9.91400622849e-08
1730 955 0.125 0.125 1.0 1.0 6.09406448496e-05 6.19800458822e-07
1730 955 0.1 0 0.25 0 2.6891952936e-06 4.5969459e-09
1730 955 0.25 0 0.25 0 1.6807470585e-05 2.8730911875e-08
1730 955 0.25 0.25 0.05 0.05 1.54199281586e-06 2.72299009224e-09
1730 955 0.25 0.25 0.125 0.125 9.63175486532e-06 1.91686749338e-08
1730 955 0.25 0.25 0.25 0.25 3.81814815128e-05 1.06871861976e-07
1730 955 0.25 0.25 0.5 0.5 0.000134884882958 8.85712439858e-07
1730 955 0.25 0.25 1.0 1.0 0.000243762579398 8.60713178777e-06
1730 955 0.5 0 0.25 0 6.722988234e-05 1.149236475e-07
1730 955 0.5 0.5 0.05 0.05 6.16797126343e-06 1.16818418542e-08
1730 955 0.5 0.5 0.125 0.125 3.85270194613e-05 1.07525292768e-07
1730 955 0.5 0.5 0.25 0.25 0.000152725926051 9.20165996395e-07
1730 955 0.5 0.5 0.5 0.5 0.000539539531833 1.13692848109e-05
1730 955 0.5 0.5 1.0 1.0 0.000975050317593 0.000132475406391
1730 955 1.0 0 0.1 0 4.31319009825e-05 7.37326532528e-08
1730 955 1.0 0 0.5 0 0.00103778449298 1.88449740098e-06
1730 955 1.0 0 1 0 0.00286731765468 8.84166322345e-05
1730 955 1.0 1.0 0.05 0.05 2.46718850537e-05 5.93654711818e-08
1730 955 1.0 1.0 0.125 0.125 0.000154108077845 9.23710659606e-07
1730 955 1.0 1.0 0.25 0.25 0.000610903704206 1.15635207614e-05
1730 955 1.0 1.0 0.5 0.5 0.00215815812733 0.000170700100068
1730 955 1.0 1.0 1.0 1.0 0.00390020127037 0.0020986516934
1730 955 2.0 0 0.25 0 0.00107567811744 1.83877836e-06
