med dm gdmv gdma gv ga xsec unc
1005 905 1 0 0.25 0 8.7211253e-05 1.3037346e-07
1005 905 0 0.1 0 0.25 1.99588875642e-07 3.12680604052e-10
1005 905 0 0.25 0 0.25 1.24743047276e-06 2.174125974e-09
1005 905 0 0.5 0 0.25 4.98972189104e-06 1.18375353056e-08
1005 905 0 1.0 0 0.1 3.19349823288e-06 6.6112169634e-09
1005 905 0 1.0 0 0.25 1.99588875642e-05 9.76066437756e-08
1005 905 0 1.0 0 0.5 7.9806231381e-05 1.19444478635e-06
1005 905 0 1.0 0 1 0.000317364268515 1.7628748435e-05
1005 905 0 2.0 0 0.25 7.98355502566e-05 1.19453061596e-06
1005 905 0.05 0.05 0.05 0.05 2.06237427267e-08 3.18239826477e-11
1005 905 0.05 0.05 0.125 0.125 1.28897283512e-07 2.00386320789e-10
1005 905 0.05 0.05 0.25 0.25 5.15520886851e-07 8.22698257558e-10
1005 905 0.05 0.05 0.5 0.5 2.05772800516e-06 3.623387862e-09
1005 905 0.05 0.05 1.0 1.0 7.96411451116e-06 1.92798292049e-08
1005 905 0.125 0.125 0.05 0.05 1.28898392042e-07 2.00387981261e-10
1005 905 0.125 0.125 0.125 0.125 8.05608021947e-07 1.31054247175e-09
1005 905 0.125 0.125 0.25 0.25 3.22200554282e-06 6.07177920668e-09
1005 905 0.125 0.125 0.5 0.5 1.28608000323e-05 3.74910714262e-08
1005 905 0.125 0.125 1.0 1.0 4.97757156948e-05 3.4991806489e-07
1005 905 0.1 0 0.25 0 8.67234804e-07 1.3037346e-09
1005 905 0.25 0 0.25 0 5.420217525e-06 8.14834125e-09
1005 905 0.25 0.25 0.05 0.05 5.15593568168e-07 8.22810349506e-10
1005 905 0.25 0.25 0.125 0.125 3.22243208779e-06 6.072569413e-09
1005 905 0.25 0.25 0.25 0.25 1.28880221713e-05 3.75716182117e-08
1005 905 0.25 0.25 0.5 0.5 5.1443200129e-05 3.62034246971e-07
1005 905 0.25 0.25 1.0 1.0 0.000199102862779 4.67708843613e-06
1005 905 0.5 0 0.25 0 2.16808701e-05 3.2593365e-08
1005 905 0.5 0.5 0.05 0.05 2.06237427267e-06 3.63137618945e-09
1005 905 0.5 0.5 0.125 0.125 1.28897283512e-05 3.7576670068e-08
1005 905 0.5 0.5 0.25 0.25 5.15520886851e-05 3.62838495007e-07
1005 905 0.5 0.5 0.5 0.5 0.000205772800516 4.84125636815e-06
1005 905 0.5 0.5 1.0 1.0 0.000796411451116 7.11470125697e-05
1005 905 1.0 0 0.1 0 1.38762374475e-05 2.08604758151e-08
1005 905 1.0 0 0.5 0 0.000346709100083 5.21219493618e-07
1005 905 1.0 0 1 0 0.0013751411114 2.08242397535e-06
1005 905 1.0 1.0 0.05 0.05 8.24949709069e-06 1.99676614206e-08
1005 905 1.0 1.0 0.125 0.125 5.15589134046e-05 3.62888958928e-07
1005 905 1.0 1.0 0.25 0.25 0.000206208354741 4.85218633458e-06
1005 905 1.0 1.0 0.5 0.5 0.000823091202064 7.36549355568e-05
1005 905 1.0 1.0 1.0 1.0 0.00318564580446 0.00112360659148
1005 905 2.0 0 0.25 0 0.0003468939216 5.2149384e-07
