med dm gdmv gdma gv ga xsec unc
1455 730 1 0 0.25 0 0.010216729 1.4009455e-05
1455 730 0 0.1 0 0.25 5.73225940102e-06 8.29532298709e-09
1455 730 0 0.25 0 0.25 3.58266212564e-05 5.94147724091e-08
1455 730 0 0.5 0 0.25 0.000143306485026 3.45787714491e-07
1455 730 0 1.0 0 0.1 9.8909655504e-05 1.95325890424e-07
1455 730 0 1.0 0 0.25 0.000573225940102 3.11320885563e-06
1455 730 0 1.0 0 0.5 0.00171490592454 4.05011983553e-05
1455 730 0 1.0 0 1 0.00341471769389 0.000438764448255
1455 730 0 2.0 0 0.25 0.00229290376041 4.01337633852e-05
1455 730 0.05 0.05 0.05 0.05 3.26773433839e-06 4.44777747623e-09
1455 730 0.05 0.05 0.125 0.125 1.7341981518e-05 2.35067585108e-08
1455 730 0.05 0.05 0.25 0.25 3.86657915807e-05 5.29256801069e-08
1455 730 0.05 0.05 0.5 0.5 5.26917196766e-05 9.72742977324e-08
1455 730 0.05 0.05 1.0 1.0 4.15701996824e-05 1.98991656776e-07
1455 730 0.125 0.125 0.05 0.05 2.0423339615e-05 2.81805118493e-08
1455 730 0.125 0.125 0.125 0.125 0.000108387384488 1.50693325769e-07
1455 730 0.125 0.125 0.25 0.25 0.000241661197379 3.73792455113e-07
1455 730 0.125 0.125 0.5 0.5 0.000329323247979 1.30216185747e-06
1455 730 0.125 0.125 1.0 1.0 0.000259813748015 5.16684429804e-06
1455 730 0.1 0 0.25 0 0.00010641070304 1.4009455e-07
1455 730 0.25 0 0.25 0 0.000665066894 8.755909375e-07
1455 730 0.25 0.25 0.05 0.05 8.16933584598e-05 1.18177799152e-07
1455 730 0.25 0.25 0.125 0.125 0.000433549537951 6.56717375609e-07
1455 730 0.25 0.25 0.25 0.25 0.000966644789518 2.10955488395e-06
1455 730 0.25 0.25 0.5 0.5 0.00131729299192 1.51257545247e-05
1455 730 0.25 0.25 1.0 1.0 0.00103925499206 7.67123263807e-05
1455 730 0.5 0 0.25 0 0.002660267576 3.50236375e-06
1455 730 0.5 0.5 0.05 0.05 0.000326773433839 5.60003224681e-07
1455 730 0.5 0.5 0.125 0.125 0.0017341981518 3.48997466294e-06
1455 730 0.5 0.5 0.25 0.25 0.00386657915807 1.82683805518e-05
1455 730 0.5 0.5 0.5 0.5 0.00526917196766 0.000219176731616
1455 730 0.5 0.5 1.0 1.0 0.00415701996824 0.00120356849254
1455 730 1.0 0 0.1 0 0.00249389403562 9.12122212327e-06
1455 730 1.0 0 0.5 0 0.0184693615402 0.000509032261395
1455 730 1.0 0 1 0 0.0202145109866 0.00367957393001
1455 730 1.0 1.0 0.05 0.05 0.00130709373536 3.6366853479e-06
1455 730 1.0 1.0 0.125 0.125 0.00693679260721 2.77695812198e-05
1455 730 1.0 1.0 0.25 0.25 0.0154663166323 0.000230356098464
1455 730 1.0 1.0 0.5 0.5 0.0210766878706 0.00341548634274
1455 730 1.0 1.0 1.0 1.0 0.0166280798729 0.0191617809624
1455 730 2.0 0 0.25 0 0.042564281216 5.603782e-05
