med dm gdmv gdma gv ga xsec unc
1030 1130 1 0 0.25 0 1.7931477e-05 2.5517259e-08
1030 1130 0 0.1 0 0.25 4.18651367329e-08 6.41080239223e-11
1030 1130 0 0.25 0 0.25 2.61657104581e-07 4.44376997993e-10
1030 1130 0 0.5 0 0.25 1.04662841832e-06 2.40182011309e-09
1030 1130 0 1.0 0 0.1 6.69848255306e-07 1.34538596123e-09
1030 1130 0 1.0 0 0.25 4.18651367329e-06 1.95962743903e-08
1030 1130 0 1.0 0 0.5 1.67437200256e-05 2.3820211479e-07
1030 1130 0 1.0 0 1 6.68259225153e-05 3.50886477826e-06
1030 1130 0 2.0 0 0.25 1.67460546932e-05 2.38209000568e-07
1030 1130 0.05 0.05 0.05 0.05 4.18012272735e-09 6.21886701435e-12
1030 1130 0.05 0.05 0.125 0.125 2.61256894036e-08 3.9195644542e-11
1030 1130 0.05 0.05 0.25 0.25 1.0449797697e-07 1.61458316748e-10
1030 1130 0.05 0.05 0.5 0.5 4.17686238852e-07 7.20205951113e-10
1030 1130 0.05 0.05 1.0 1.0 1.65147632607e-06 4.02807298452e-09
1030 1130 0.125 0.125 0.05 0.05 2.6125767046e-08 3.91957672027e-11
1030 1130 0.125 0.125 0.125 0.125 1.63285558773e-07 2.57779312209e-10
1030 1130 0.125 0.125 0.25 0.25 6.53112356065e-07 1.21400846533e-09
1030 1130 0.125 0.125 0.5 0.5 2.61053899282e-06 7.7768925548e-09
1030 1130 0.125 0.125 1.0 1.0 1.03217270379e-05 7.69094546227e-08
1030 1130 0.1 0 0.25 0 1.6446368952e-07 2.5517259e-10
1030 1130 0.25 0 0.25 0 1.0278980595e-06 1.5948286875e-09
1030 1130 0.25 0.25 0.05 0.05 1.04503068184e-07 1.61466616854e-10
1030 1130 0.25 0.25 0.125 0.125 6.5314223509e-07 1.214067732e-09
1030 1130 0.25 0.25 0.25 0.25 2.61244942426e-06 7.78309079927e-09
1030 1130 0.25 0.25 0.5 0.5 1.04421559713e-05 7.79019325099e-08
1030 1130 0.25 0.25 1.0 1.0 4.12869081518e-05 1.04669493948e-06
1030 1130 0.5 0 0.25 0 4.111592238e-06 6.37931475e-09
1030 1130 0.5 0.5 0.05 0.05 4.18012272735e-07 7.20803236106e-10
1030 1130 0.5 0.5 0.125 0.125 2.61256894036e-06 7.78347865857e-09
1030 1130 0.5 0.5 0.25 0.25 1.0449797697e-05 7.79652742042e-08
1030 1130 0.5 0.5 0.5 0.5 4.17686238852e-05 1.06031752669e-06
1030 1130 0.5 0.5 1.0 1.0 0.000165147632607 1.60116936938e-05
1030 1130 1.0 0 0.1 0 2.63145117323e-06 4.08281402033e-09
1030 1130 1.0 0 0.5 0 6.57731093258e-05 1.02048881943e-07
1030 1130 1.0 0 1 0 0.000262304049715 4.07253700551e-07
1030 1130 1.0 1.0 0.05 0.05 1.67204909094e-06 4.08220124346e-09
1030 1130 1.0 1.0 0.125 0.125 1.04502757614e-05 7.79692383235e-08
1030 1130 1.0 1.0 0.25 0.25 4.17991907881e-05 1.06118767293e-06
1030 1130 1.0 1.0 0.5 0.5 0.000167074495541 1.62206268532e-05
1030 1130 1.0 1.0 1.0 1.0 0.000660590530429 0.000253245397749
1030 1130 2.0 0 0.25 0 6.5785475808e-05 1.02069036e-07
