med dm gdmv gdma gv ga xsec unc
780 955 1 0 0.25 0 4.9267952e-05 6.3857215e-08
780 955 0 0.1 0 0.25 1.35017266964e-07 2.04650953983e-10
780 955 0 0.25 0 0.25 8.43857918522e-07 1.43088026723e-09
780 955 0 0.5 0 0.25 3.37543167409e-06 7.89226113809e-09
780 955 0 1.0 0 0.1 2.16028822766e-06 4.38482615764e-09
780 955 0 1.0 0 0.25 1.35017266964e-05 6.62688856589e-08
780 955 0 1.0 0 0.5 5.40023059663e-05 8.20276348365e-07
780 955 0 1.0 0 1 0.00021571534656 1.21664619409e-05
780 955 0 2.0 0 0.25 5.40069067854e-05 8.2027300034e-07
780 955 0.05 0.05 0.05 0.05 1.25434817777e-08 1.68526030888e-11
780 955 0.05 0.05 0.125 0.125 7.83966219737e-08 1.06269971832e-10
780 955 0.05 0.05 0.25 0.25 3.13577920646e-07 4.38516897902e-10
780 955 0.05 0.05 0.5 0.5 1.25376369256e-06 1.96842421993e-09
780 955 0.05 0.05 1.0 1.0 4.98030157084e-06 1.12406628559e-08
780 955 0.125 0.125 0.05 0.05 7.83967611108e-08 1.06270148674e-10
780 955 0.125 0.125 0.125 0.125 4.89978887335e-07 7.00959892615e-10
780 955 0.125 0.125 0.25 0.25 1.95986200404e-06 3.32907621367e-09
780 955 0.125 0.125 0.5 0.5 7.8360230785e-06 2.17122169892e-08
780 955 0.125 0.125 1.0 1.0 3.11268848178e-05 2.19805219117e-07
780 955 0.1 0 0.25 0 4.781574912e-07 6.3857215e-10
780 955 0.25 0 0.25 0 2.98848432e-06 3.9910759375e-09
780 955 0.25 0.25 0.05 0.05 3.13587044443e-07 4.38528871389e-10
780 955 0.25 0.25 0.125 0.125 1.95991554934e-06 3.32916197996e-09
780 955 0.25 0.25 0.25 0.25 7.83944801615e-06 2.1721242023e-08
780 955 0.25 0.25 0.5 0.5 3.1344092314e-05 2.2127123388e-07
780 955 0.25 0.25 1.0 1.0 0.000124507539271 3.01566482315e-06
780 955 0.5 0 0.25 0 1.195393728e-05 1.596430375e-08
780 955 0.5 0.5 0.05 0.05 1.25434817777e-06 1.96928791266e-09
780 955 0.5 0.5 0.125 0.125 7.83966219737e-06 2.17218064719e-08
780 955 0.5 0.5 0.25 0.25 3.13577920646e-05 2.21363962786e-07
780 955 0.5 0.5 0.5 0.5 0.000125376369256 3.03584279029e-06
780 955 0.5 0.5 1.0 1.0 0.000498030157084 4.62457624395e-05
780 955 1.0 0 0.1 0 7.65057675288e-06 1.02172264801e-08
780 955 1.0 0 0.5 0 0.000191241104082 2.55401191482e-07
780 955 1.0 0 1 0 0.000763566607902 1.02014339033e-06
780 955 1.0 1.0 0.05 0.05 5.01739271109e-06 1.13199104843e-08
780 955 1.0 1.0 0.125 0.125 3.13586487895e-05 2.2136976272e-07
780 955 1.0 1.0 0.25 0.25 0.000125431168258 3.03711976624e-06
780 955 1.0 1.0 0.5 0.5 0.000501505477024 4.65554968375e-05
780 955 1.0 1.0 1.0 1.0 0.00199212062834 0.000731912700108
780 955 2.0 0 0.25 0 0.00019126299648 2.5542886e-07
