med dm gdmv gdma gv ga xsec unc
455 530 1 0 0.25 0 0.00112569 1.7081949e-06
455 530 0 0.1 0 0.25 5.4540467485e-06 8.6800431608e-09
455 530 0 0.25 0 0.25 3.40877921781e-05 6.13303244025e-08
455 530 0 0.5 0 0.25 0.000136351168713 3.46464935432e-07
455 530 0 1.0 0 0.1 8.72651596934e-05 1.90666696816e-07
455 530 0 1.0 0 0.25 0.00054540467485 3.00415794688e-06
455 530 0 1.0 0 0.5 0.00218146026792 3.7910948718e-05
455 530 0 1.0 0 1 0.00871572061727 0.000566391297395
455 530 0 2.0 0 0.25 0.0021816186994 3.790940307e-05
455 530 0.05 0.05 0.05 0.05 3.23757346279e-07 5.13010099261e-10
455 530 0.05 0.05 0.125 0.125 2.02348027285e-06 3.23310428086e-09
455 530 0.05 0.05 0.25 0.25 8.0937276623e-06 1.33149156284e-08
455 530 0.05 0.05 0.5 0.5 3.23625381693e-05 5.93637996141e-08
455 530 0.05 0.05 1.0 1.0 0.000128665383388 3.33786585283e-07
455 530 0.125 0.125 0.05 0.05 2.02348341424e-06 3.23310907647e-09
455 530 0.125 0.125 0.125 0.125 1.26467517053e-05 2.12536178591e-08
455 530 0.125 0.125 0.25 0.25 5.05857978893e-05 9.99654510344e-08
455 530 0.125 0.125 0.5 0.5 0.000202265863558 6.38920752397e-07
455 530 0.125 0.125 1.0 1.0 0.000804158646178 6.35771432535e-06
455 530 0.1 0 0.25 0 1.1572720792e-05 1.7081949e-08
455 530 0.25 0 0.25 0 7.232950495e-05 1.0676218125e-07
455 530 0.25 0.25 0.05 0.05 8.09393365697e-06 1.33152356786e-08
455 530 0.25 0.25 0.125 0.125 5.05870068211e-05 9.99675586318e-08
455 530 0.25 0.25 0.25 0.25 0.000202343191557 6.39107923521e-07
455 530 0.25 0.25 0.5 0.5 0.000809063454231 6.3827830783e-06
455 530 0.25 0.25 1.0 1.0 0.00321663458471 8.64529739776e-05
455 530 0.5 0 0.25 0 0.0002893180198 4.27048725e-07
455 530 0.5 0.5 0.05 0.05 3.23757346279e-05 5.93857326774e-08
455 530 0.5 0.5 0.125 0.125 0.000202348027285 6.39119629657e-07
455 530 0.5 0.5 0.25 0.25 0.00080937276623 6.38436960422e-06
455 530 0.5 0.5 0.5 0.5 0.00323625381693 8.67647334125e-05
455 530 0.5 0.5 1.0 1.0 0.0128665383388 0.00132216576273
455 530 1.0 0 0.1 0 0.00018516473791 2.73312966846e-07
455 530 1.0 0 0.5 0 0.0046286245459 6.83209560467e-06
455 530 1.0 0 1 0 0.0184848856972 2.72939009709e-05
455 530 1.0 1.0 0.05 0.05 0.000129502938512 3.35539570119e-07
455 530 1.0 1.0 0.125 0.125 0.000809392109138 6.3844688407e-06
455 530 1.0 1.0 0.25 0.25 0.00323749106492 8.67844849791e-05
455 530 1.0 1.0 0.5 0.5 0.0129450152677 0.00132679655124
455 530 1.0 1.0 1.0 1.0 0.0514661533554 0.02091032492
455 530 2.0 0 0.25 0 0.0046290883168 6.8327796e-06
