med dm gdmv gdma gv ga xsec unc
1355 180 1 0 0.25 0 0.071843167 9.3513137e-05
1355 180 0 0.1 0 0.25 0.00152984688197 2.27702483166e-06
1355 180 0 0.25 0 0.25 0.00898058421495 2.23789829572e-05
1355 180 0 0.5 0 0.25 0.0294813298563 0.000108207081428
1355 180 0 1.0 0 0.1 0.0179115873339 4.49504672196e-05
1355 180 0 1.0 0 0.25 0.0679015480468 0.000121332833945
1355 180 0 1.0 0 0.5 0.109446498895 0.00185484533294
1355 180 0 1.0 0 1 0.117568728875 0.0157886635354
1355 180 0 2.0 0 0.25 0.096898368453 0.00190927360211
1355 180 0.05 0.05 0.05 0.05 0.00156086449612 5.80328049037e-05
1355 180 0.05 0.05 0.125 0.125 0.000974230136788 3.5441460006e-06
1355 180 0.05 0.05 0.25 0.25 0.00081977809523 1.33775494303e-06
1355 180 0.05 0.05 0.5 0.5 0.000765519592047 1.51803534519e-06
1355 180 0.05 0.05 1.0 1.0 0.000640719840488 2.28897564255e-06
1355 180 0.125 0.125 0.05 0.05 0.00624058523768 0.000619684132068
1355 180 0.125 0.125 0.125 0.125 0.00563374521598 8.09458157611e-05
1355 180 0.125 0.125 0.25 0.25 0.00503296266133 1.62030414054e-05
1355 180 0.125 0.125 0.5 0.5 0.00476354259939 2.44517825462e-05
1355 180 0.125 0.125 1.0 1.0 0.00399898863401 6.02853660579e-05
1355 180 0.1 0 0.25 0 0.00170926888038 2.57963122351e-06
1355 180 0.25 0 0.25 0 0.00996535551047 2.51926821907e-05
1355 180 0.25 0.25 0.05 0.05 0.0100156585695 0.000684906619825
1355 180 0.25 0.25 0.125 0.125 0.017748377489 0.000578455717847
1355 180 0.25 0.25 0.25 0.25 0.0189343374801 0.000153707277759
1355 180 0.25 0.25 0.5 0.5 0.0187604660273 0.000308185628357
1355 180 0.25 0.25 1.0 1.0 0.0159176049925 0.000892641826385
1355 180 0.5 0 0.25 0 0.0321143874227 0.000110025420188
1355 180 0.5 0.5 0.05 0.05 0.0102697659317 0.000177176547234
1355 180 0.5 0.5 0.125 0.125 0.0380588224693 0.00120164959798
1355 180 0.5 0.5 0.25 0.25 0.0611497189835 0.00127176264066
1355 180 0.5 0.5 0.5 0.5 0.0706703788945 0.00439896126971
1355 180 0.5 0.5 1.0 1.0 0.0624389939537 0.0136674926289
1355 180 1.0 0 0.1 0 0.0181551293563 3.68537590258e-05
1355 180 1.0 0 0.5 0 0.12210197117 0.00261160472224
1355 180 1.0 0 1 0 0.142199566531 0.0249008287604
1355 180 1.0 1.0 0.05 0.05 0.00979413386496 4.36452414023e-05
1355 180 1.0 1.0 0.125 0.125 0.0523481061348 0.000926906372069
1355 180 1.0 1.0 0.25 0.25 0.137831003277 0.00774326593625
1355 180 1.0 1.0 0.5 0.5 0.228676747308 0.057846514439
1355 180 1.0 1.0 1.0 1.0 0.231376800092 0.196972595968
1355 180 2.0 0 0.25 0 0.10157966467 0.00272916958094
